index,subject_img_1,subject_img_2,background_img,prompt
00001,IntelligentVBench/images/Compositional_MI2V/subject2/00001_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00001_subject2.png,,"The woman in the first image retracts her extended arm, spreads her arms wide, and then folds them across her chest with a look of resignation. The man in the second image raises his hands briefly during conversation and then brings them down."
00002,IntelligentVBench/images/Compositional_MI2V/subject2/00002_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00002_subject2.png,,"The woman in the first image kneels by an open suitcase, sorting clothes. The woman in the second image sits nearby, watching."
00003,IntelligentVBench/images/Compositional_MI2V/subject2/00003_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00003_subject2.png,,"The man in the first image opens his mouth to speak, his expression shifting. The woman in the second image lowers her hand from her face, turns toward him, and begins to talk, raising both arms outward."
00004,IntelligentVBench/images/Compositional_MI2V/subject2/00004_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00004_subject2.png,,"The camera pans right, revealing the pastry rolls from the first image, followed by the bowl of golden jelly from the second image."
00005,IntelligentVBench/images/Compositional_MI2V/subject2/00005_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00005_subject2.png,,"The woman in the first image holds a cardboard box and talks continuously. The woman in the second image turns around and walks away down the hallway, eventually disappearing into an adjacent room."
00006,IntelligentVBench/images/Compositional_MI2V/subject2/00006_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00006_subject2.png,,"The man in the first image talks continuously, his mouth moving and his gaze fixed on the woman in the second image beside him. The woman in the second image listens intently, maintaining a somber expression until she briefly closes her eyes."
00007,IntelligentVBench/images/Compositional_MI2V/subject2/00007_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00007_subject2.png,,"The girl with orange hair in the first image and the girl with blue hair in the second image engage in an animated conversation. Initially looking at each other with wide-eyed surprise, they briefly shut their eyes tightly and then open them again to continue staring intensely."
00008,IntelligentVBench/images/Compositional_MI2V/subject2/00008_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00008_subject2.png,,"The camera slowly zooms in on the pile of red beans in the first image nestled in a woven basket, with the wooden spoon in the second image placed upon them."
00009,IntelligentVBench/images/Compositional_MI2V/subject2/00009_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00009_subject2.png,,"The yellow striped caterpillar in the first image and the red striped caterpillar in the second image become alarmed, eyes widening. The yellow striped caterpillar thrashes violently, then pauses, looking frightened, hugging the red striped caterpillar."
00010,IntelligentVBench/images/Compositional_MI2V/subject2/00010_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00010_subject2.png,,"The left hand holds the small brown circular object in the first image, subtly rotating it back and forth. The right hand, gripping the black spray can in the second image, makes slight upward and downward motion."
00011,IntelligentVBench/images/Compositional_MI2V/subject2/00011_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00011_subject2.png,,"The garbage truck in the first image remains stationary with flashing red lights. The man in the second image stands near it, adjusting his posture while watching the vehicle."
00012,IntelligentVBench/images/Compositional_MI2V/subject2/00012_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00012_subject2.png,,"A pair of hands works on the cardboard fan in the second image. One hand holds the cardboard fan by its base, while the other hand moves the orange spray can in the first image back and forth to apply red paint to the cardboard fan's surface."
00013,IntelligentVBench/images/Compositional_MI2V/subject2/00013_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00013_subject2.png,,"The woman, holding the bag of Celps snacks from the first image, talks and gestures, moving her hands before bringing the packet forward. The man, holding the round emoji-faced cookie from the second image, lowers it, then raises it high, turning it to show its design. Both continue to talk throughout the sequence."
00014,IntelligentVBench/images/Compositional_MI2V/subject2/00014_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00014_subject2.png,,"Two cats are initially on a blanket of snow; one is the white cat with black and orange spots in the first image, the other is the tabby cat in the second image. The tabby cat moves its head back and forth as if playfully nibbling the white cat's neck."
00015,IntelligentVBench/images/Compositional_MI2V/subject2/00015_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00015_subject2.png,,"A person's left hand grips the handle of the white teapot in the first image and raises it while simultaneously tilting its spout downwards. With the other hand supporting the small white teacup in the second image positioned beneath the spout, the person begins to pour hot liquid from the pot into the cup."
00016,IntelligentVBench/images/Compositional_MI2V/subject2/00016_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00016_subject2.png,,"A person holds the glass measuring cup containing a light brown liquid from the first image steady while pouring its contents into a white bowl. Simultaneously, using another hand, he holds the black spatula from the second image that scrapes dry ingredients from within the bowl onto the flowing liquid, mixing them together."
00017,IntelligentVBench/images/Compositional_MI2V/subject2/00017_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00017_subject2.png,,"A person holds the cocktail shaker in the first image above an ice-filled glass. Using one hand on the cocktail shaker in the first image and the other on the fine-mesh strainer in the second image, the person pours a clear liquid through the fine-mesh strainer into the glass."
00018,IntelligentVBench/images/Compositional_MI2V/subject2/00018_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject2/00018_subject2.png,,"The man in the first image speaks animatedly, his facial expressions shifting. He holds the purple candy package in the second image, turning it over to show its front and back covers."
