index,subject_img_1,subject_img_2,subject_img_3,background_img,prompt
00001,IntelligentVBench/images/Compositional_MI2V/subject3/00001_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject3/00001_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject3/00001_subject3.png,,"The woman in the first image speaks and gestures away from the blender in the third image. The man in the second image looks at the blender in the third image, moving his hands around its base as he talks. Inside the blender in the third image, the mixture swirls gently during blending."
00002,IntelligentVBench/images/Compositional_MI2V/subject3/00002_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject3/00002_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject3/00002_subject3.png,,"The two burgers on a wooden platter in the first image, the small white cup of mayonnaise in the second image, and the glass bowl of french fries in the third image, gradually becomes smaller as the camera slowly pulls away."
00003,IntelligentVBench/images/Compositional_MI2V/subject3/00003_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject3/00003_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject3/00003_subject3.png,,"The bear in the first image holds the jar of raspberry jam in the third image steady while using the spoon in the second image to stir. It lifts the spoon, drips jam onto itself, opens its mouth to taste."
00004,IntelligentVBench/images/Compositional_MI2V/subject3/00004_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject3/00004_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject3/00004_subject3.png,,"The pink troll in the first image extends its right arm toward the colorful spinning wheel in the second image. As the colorful spinning wheel comes to a halt, a brilliant burst of purple light radiates outward. Subsequently, the pink troll holds up the small, gift box in the third image."
00005,IntelligentVBench/images/Compositional_MI2V/subject3/00005_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject3/00005_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject3/00005_subject3.png,,"Hands manipulate the raw salmon fillet in the first image in a hot pan using two utensils. Both hands work together; one holds the slotted spatula in the third image near the pan's edge, while the other uses the fork in the second image to prod and lift the raw salmon fillet."
00006,IntelligentVBench/images/Compositional_MI2V/subject3/00006_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject3/00006_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject3/00006_subject3.png,,"The man in the first image and the man in the second image walk together through a park, pushing the stroller in the third image."
00007,IntelligentVBench/images/Compositional_MI2V/subject3/00007_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject3/00007_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject3/00007_subject3.png,,"One hand holds the gray knitted sock from the first image, initially resting on the ball of green yarn from the second image behind the sock, then pressing down on the sock and an adjacent ball of gray yarn from the third image."
00008,IntelligentVBench/images/Compositional_MI2V/subject3/00008_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject3/00008_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject3/00008_subject3.png,,"The man in the first image leans over an examination table, smiles, and pets the cat in the second image lying on its side. The woman in the third image stands beside them, watching attentively with her hands clasped in front of her chest."
00009,IntelligentVBench/images/Compositional_MI2V/subject3/00009_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject3/00009_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject3/00009_subject3.png,,"The man in the first image starts talking. The woman in the second image turns her head away, revealing her profile. The woman in the third image stands still with her arms crossed."
00010,IntelligentVBench/images/Compositional_MI2V/subject3/00010_subject1.png,IntelligentVBench/images/Compositional_MI2V/subject3/00010_subject2.png,IntelligentVBench/images/Compositional_MI2V/subject3/00010_subject3.png,,"The pig in the first image talks, raising her left hand toward her face then lowering it. The man in the second image sips from his drink in his right hand. The dog in the third image turns his head, opens his mouth, and moves his hands forward."
