edited_type,index,condition_video,condition_image,prompt
local_change,00001,IntelligentVBench/videos/TIV2V/00001.mp4,IntelligentVBench/images/TIV2V/00001.png,replace the man with the man having a neatly trimmed beard in the image.
local_change,00002,IntelligentVBench/videos/TIV2V/00002.mp4,IntelligentVBench/images/TIV2V/00002.png,replace the woman with the elderly woman in the image.
local_change,00003,IntelligentVBench/videos/TIV2V/00003.mp4,IntelligentVBench/images/TIV2V/00003.png,replace the glass vase with the brushed steel metallic vase in the image.
local_change,00004,IntelligentVBench/videos/TIV2V/00004.mp4,IntelligentVBench/images/TIV2V/00004.png,replace the green tree with the autumn-colored tree in the image.
local_change,00005,IntelligentVBench/videos/TIV2V/00005.mp4,IntelligentVBench/images/TIV2V/00005.png,replace the woman’s attire with the deep blue evening gown in the image.
local_change,00006,IntelligentVBench/videos/TIV2V/00006.mp4,IntelligentVBench/images/TIV2V/00006.png,replace the man with the elderly gentleman in the image.
local_change,00007,IntelligentVBench/videos/TIV2V/00007.mp4,IntelligentVBench/images/TIV2V/00007.png,replace the blue shirt with the suit in the image.
local_change,00008,IntelligentVBench/videos/TIV2V/00008.mp4,IntelligentVBench/images/TIV2V/00008.png,replace the sofa with the white sofa in the image.
local_change,00009,IntelligentVBench/videos/TIV2V/00009.mp4,IntelligentVBench/images/TIV2V/00009.png,replace the white baby's breath bouquet with the sunflower in the image.
local_change,00010,IntelligentVBench/videos/TIV2V/00010.mp4,IntelligentVBench/images/TIV2V/00010.png,replace the purple satin dress with the yellow dress in the image.
local_change,00011,IntelligentVBench/videos/TIV2V/00011.mp4,IntelligentVBench/images/TIV2V/00011.png,replace the man with the elderly gentleman in the image.
local_change,00012,IntelligentVBench/videos/TIV2V/00012.mp4,IntelligentVBench/images/TIV2V/00012.png,replace the man's dark suit with the blue shirt in the image.
local_change,00013,IntelligentVBench/videos/TIV2V/00013.mp4,IntelligentVBench/images/TIV2V/00013.png,replace the brown leather sofa with the sofa in the image.
local_change,00014,IntelligentVBench/videos/TIV2V/00014.mp4,IntelligentVBench/images/TIV2V/00014.png,replace the man with the elderly gentleman in the image.
local_change,00015,IntelligentVBench/videos/TIV2V/00015.mp4,IntelligentVBench/images/TIV2V/00015.png,replace the wooden table with the white marble tabletop in the image.
local_change,00016,IntelligentVBench/videos/TIV2V/00016.mp4,IntelligentVBench/images/TIV2V/00016.png,replace the white refrigerator with the bamboo wood exterior refrigerator in the image.
local_change,00017,IntelligentVBench/videos/TIV2V/00017.mp4,IntelligentVBench/images/TIV2V/00017.png,replace the stone fireplace with the fireplace shown in the image.
local_change,00018,IntelligentVBench/videos/TIV2V/00018.mp4,IntelligentVBench/images/TIV2V/00018.png,replace the green leafy plant with the colorful succulent in white pot in the image.
local_change,00019,IntelligentVBench/videos/TIV2V/00019.mp4,IntelligentVBench/images/TIV2V/00019.png,replace the shirt with the clothes in the image.
local_change,00020,IntelligentVBench/videos/TIV2V/00020.mp4,IntelligentVBench/images/TIV2V/00020.png,replace the man with the elderly gentleman in the image.
local_change,00021,IntelligentVBench/videos/TIV2V/00021.mp4,IntelligentVBench/images/TIV2V/00021.png,replace beige beanbag with the woven jute fiber beanbag in the image
local_change,00022,IntelligentVBench/videos/TIV2V/00022.mp4,IntelligentVBench/images/TIV2V/00022.png,replace the sofa with the sofa with the cushions in the image.
local_change,00023,IntelligentVBench/videos/TIV2V/00023.mp4,IntelligentVBench/images/TIV2V/00023.png,replace the man with the elderly gentleman in the image.
local_change,00024,IntelligentVBench/videos/TIV2V/00024.mp4,IntelligentVBench/images/TIV2V/00024.png,replace the yellow modern car with hood open with the car in the image.
local_change,00025,IntelligentVBench/videos/TIV2V/00025.mp4,IntelligentVBench/images/TIV2V/00025.png,replace the gray t-shirt with the jacket in the image.
local_change,00026,IntelligentVBench/videos/TIV2V/00026.mp4,IntelligentVBench/images/TIV2V/00026.png,replace the adult man with the elderly gentleman in the image.
local_change,00027,IntelligentVBench/videos/TIV2V/00027.mp4,IntelligentVBench/images/TIV2V/00027.png,replace round black metal table with the round white table in the image
local_change,00028,IntelligentVBench/videos/TIV2V/00028.mp4,IntelligentVBench/images/TIV2V/00028.png,replace grey fabric sofa with the white sofa in the image.
local_change,00029,IntelligentVBench/videos/TIV2V/00029.mp4,IntelligentVBench/images/TIV2V/00029.png,replace the rifle in the video with the futuristic rifle shown in the image.
local_change,00030,IntelligentVBench/videos/TIV2V/00030.mp4,IntelligentVBench/images/TIV2V/00030.png,replace the front-most green-leaved tree with the autumn foliage tree in the image.
local_change,00031,IntelligentVBench/videos/TIV2V/00031.mp4,IntelligentVBench/images/TIV2V/00031.png,replace the pink flower with the white flower in the image.
local_change,00032,IntelligentVBench/videos/TIV2V/00032.mp4,IntelligentVBench/images/TIV2V/00032.png,replace acoustic guitar with the guitar in the image.
local_change,00033,IntelligentVBench/videos/TIV2V/00033.mp4,IntelligentVBench/images/TIV2V/00033.png,replace the adult man with the elderly gentleman in the image.
local_change,00034,IntelligentVBench/videos/TIV2V/00034.mp4,IntelligentVBench/images/TIV2V/00034.png,Replace the girl's hairstyle with the one shown in the image.
local_change,00035,IntelligentVBench/videos/TIV2V/00035.mp4,IntelligentVBench/images/TIV2V/00035.png,replace yellow metal table with the brown table in the image
local_change,00036,IntelligentVBench/videos/TIV2V/00036.mp4,IntelligentVBench/images/TIV2V/00036.png,replace the woman with the silver-haired woman in the image.
local_change,00037,IntelligentVBench/videos/TIV2V/00037.mp4,IntelligentVBench/images/TIV2V/00037.png,"replace wooden table with the brightly painted red, blue, and yellow striped picnic table in the image"
local_change,00038,IntelligentVBench/videos/TIV2V/00038.mp4,IntelligentVBench/images/TIV2V/00038.png,replace the man with the man in the image.
local_change,00039,IntelligentVBench/videos/TIV2V/00039.mp4,IntelligentVBench/images/TIV2V/00039.png,replace the woman's attire with the clothes shown in the image.
local_change,00040,IntelligentVBench/videos/TIV2V/00040.mp4,IntelligentVBench/images/TIV2V/00040.png,replace the wooden chair with the white chair in the image.
local_change,00041,IntelligentVBench/videos/TIV2V/00041.mp4,IntelligentVBench/images/TIV2V/00041.png,replace the woman's clothes with the clothes shown in the image.
local_change,00042,IntelligentVBench/videos/TIV2V/00042.mp4,IntelligentVBench/images/TIV2V/00042.png,replace the woman with the elderly lady in the image.
local_change,00043,IntelligentVBench/videos/TIV2V/00043.mp4,IntelligentVBench/images/TIV2V/00043.png,replace the man with the elderly gentleman in the image.
local_change,00044,IntelligentVBench/videos/TIV2V/00044.mp4,IntelligentVBench/images/TIV2V/00044.png,replace the white fence with the flower-decorated fence in the image.
local_change,00045,IntelligentVBench/videos/TIV2V/00045.mp4,IntelligentVBench/images/TIV2V/00045.png,replace laptop with the bamboo laptop in the image
local_change,00046,IntelligentVBench/videos/TIV2V/00046.mp4,IntelligentVBench/images/TIV2V/00046.png,replace the woman's outfit with the evening gown in the image.
local_change,00047,IntelligentVBench/videos/TIV2V/00047.mp4,IntelligentVBench/images/TIV2V/00047.png,replace the blue beanie with the brown fedora hat in the image.
local_change,00048,IntelligentVBench/videos/TIV2V/00048.mp4,IntelligentVBench/images/TIV2V/00048.png,replace the woman with the woman with platinum blonde hair in the image.
local_change,00049,IntelligentVBench/videos/TIV2V/00049.mp4,IntelligentVBench/images/TIV2V/00049.png,replace the white compact car with the blue car in the image.
local_change,00050,IntelligentVBench/videos/TIV2V/00050.mp4,IntelligentVBench/images/TIV2V/00050.png,replace the dog in the orange sweater with the dog in the blue winter jacket in the image.
local_change,00051,IntelligentVBench/videos/TIV2V/00051.mp4,IntelligentVBench/images/TIV2V/00051.png,replace the desk with the wooden desk in the image
local_change,00052,IntelligentVBench/videos/TIV2V/00052.mp4,IntelligentVBench/images/TIV2V/00052.png,replace the woman's maroon outfit with the white blouse and denim shorts in the image.
local_change,00053,IntelligentVBench/videos/TIV2V/00053.mp4,IntelligentVBench/images/TIV2V/00053.png,replace the man with the elderly gentleman in the image.
local_change,00054,IntelligentVBench/videos/TIV2V/00054.mp4,IntelligentVBench/images/TIV2V/00054.png,replace the car moving forward with the matte green vehicle in the image.
local_change,00055,IntelligentVBench/videos/TIV2V/00055.mp4,IntelligentVBench/images/TIV2V/00055.png,replace the green t-shirt of the man with the suit in the image.
local_change,00056,IntelligentVBench/videos/TIV2V/00056.mp4,IntelligentVBench/images/TIV2V/00056.png,replace the pressure cooker with the red pot in the image.
local_change,00057,IntelligentVBench/videos/TIV2V/00057.mp4,IntelligentVBench/images/TIV2V/00057.png,replace the middle-aged man with the elderly gentleman in the image.
local_change,00058,IntelligentVBench/videos/TIV2V/00058.mp4,IntelligentVBench/images/TIV2V/00058.png,replace the blue sports car with electric green car in the image.
local_change,00059,IntelligentVBench/videos/TIV2V/00059.mp4,IntelligentVBench/images/TIV2V/00059.png,replace the wooden table and chairs with bohemian rattan table and cushioned rattan chairs in the image.
local_change,00060,IntelligentVBench/videos/TIV2V/00060.mp4,IntelligentVBench/images/TIV2V/00060.png,replace the woman with the woman with silver hair in the image.
local_change,00061,IntelligentVBench/videos/TIV2V/00061.mp4,IntelligentVBench/images/TIV2V/00061.png,replace the man's black clothes with the white clothes shown in the image.
local_change,00062,IntelligentVBench/videos/TIV2V/00062.mp4,IntelligentVBench/images/TIV2V/00062.png,replace the sofa with the brown sofa in the image.
local_change,00063,IntelligentVBench/videos/TIV2V/00063.mp4,IntelligentVBench/images/TIV2V/00063.png,replace the stone bench with the wooden bench in the image
local_change,00064,IntelligentVBench/videos/TIV2V/00064.mp4,IntelligentVBench/images/TIV2V/00064.png,replace the woman's black turtleneck and gray pants with the pink dress in the image.
local_change,00065,IntelligentVBench/videos/TIV2V/00065.mp4,IntelligentVBench/images/TIV2V/00065.png,replace the left woman with the senior woman in the image.
local_change,00066,IntelligentVBench/videos/TIV2V/00066.mp4,IntelligentVBench/images/TIV2V/00066.png,replace the metal table with the wooden table in the image.
local_change,00067,IntelligentVBench/videos/TIV2V/00067.mp4,IntelligentVBench/images/TIV2V/00067.png,replace the orange suit with the shirt and shorts in the image.
local_change,00068,IntelligentVBench/videos/TIV2V/00068.mp4,IntelligentVBench/images/TIV2V/00068.png,replace the yellow dress of the woman with the evening gown in the image.
local_change,00069,IntelligentVBench/videos/TIV2V/00069.mp4,IntelligentVBench/images/TIV2V/00069.png,replace the man with the elderly gentleman in the image.
local_change,00070,IntelligentVBench/videos/TIV2V/00070.mp4,IntelligentVBench/images/TIV2V/00070.png,replace the tree on the left with the golden-leaved tree in the image.
local_change,00071,IntelligentVBench/videos/TIV2V/00071.mp4,IntelligentVBench/images/TIV2V/00071.png,replace the red volkswagen with the blue car in the image.
local_change,00072,IntelligentVBench/videos/TIV2V/00072.mp4,IntelligentVBench/images/TIV2V/00072.png,replace the black leather chair with the chair in the image.
local_change,00073,IntelligentVBench/videos/TIV2V/00073.mp4,IntelligentVBench/images/TIV2V/00073.png,replace the white plaid shirt with the black evening dress in the image.
back_change,00074,IntelligentVBench/videos/TIV2V/00074.mp4,IntelligentVBench/images/TIV2V/00074.png,replace the background with the scene shown in the image.
back_change,00075,IntelligentVBench/videos/TIV2V/00075.mp4,IntelligentVBench/images/TIV2V/00075.png,replace the background with the scene shown in the image.
back_change,00076,IntelligentVBench/videos/TIV2V/00076.mp4,IntelligentVBench/images/TIV2V/00076.png,replace the desert scene with the background shown in the image.
