index,subject_img_1,background_img,prompt
00001,IntelligentVBench/images/Compositional_MI2V/subject1/00001_subject1.png,,"The woman in the image speaks, her mouth opening and closing, lips moving, and making slight head movements. Another man remains still, smiling throughout the sequence."
00002,IntelligentVBench/images/Compositional_MI2V/subject1/00002_subject1.png,,"The man in the image, initially speaking with a concerned expression, slowly lowers his gaze, his face showing sadness. As he continues, he gently tilts his head down toward the other person."
00003,IntelligentVBench/images/Compositional_MI2V/subject1/00003_subject1.png,,"The woman in the image's facial expression shifts from a soft smile to a wider, more expressive grin. As she speaks, her mouth opens and closes continuously, forming words. She maintains steady eye contact with the person opposite her."
00004,IntelligentVBench/images/Compositional_MI2V/subject1/00004_subject1.png,,"The woman in the image's long dark hair flutters across her face due to the wind. She looks down at the man beside her with a somber expression, making minor head adjustments."
00005,IntelligentVBench/images/Compositional_MI2V/subject1/00005_subject1.png,,"The woman in the image, initially talking with her mouth open, speaks more quietly while lowering her head slightly. The man seated next to her remains motionless, fixedly staring ahead without changing his facial expression."
00006,IntelligentVBench/images/Compositional_MI2V/subject1/00006_subject1.png,,"The group of men stands still, gazing up with shock and concern. Over time, the man in the image slowly crosses his arms securely across his chest."
00007,IntelligentVBench/images/Compositional_MI2V/subject1/00007_subject1.png,,"The Italian flag in the image flutters on a boat's bow, its green and red stripes billowing in the wind as it travels across the water."
00008,IntelligentVBench/images/Compositional_MI2V/subject1/00008_subject1.png,,The man in the image stands still as his mouth opens and closes while talking. Another woman standing behind him remains motionless.
00009,IntelligentVBench/images/Compositional_MI2V/subject1/00009_subject1.png,,"A man stands between two trees, initially holding the blue sleeping bag in the image open against one tree. He then carefully folds the blue sleeping bag downward along its length, bringing it closer to the tree's base while maintaining his grip with both hands."
00010,IntelligentVBench/images/Compositional_MI2V/subject1/00010_subject1.png,,"The airplane in the image glides forward across the grassy surface, moving steadily left while its two propellers spin constantly."
00011,IntelligentVBench/images/Compositional_MI2V/subject1/00011_subject1.png,,"The yellow bird in the image, initially perched on damp ground near some petals, lowers its head into the water and swiftly walks off-screen to the right, disappearing from sight."
00012,IntelligentVBench/images/Compositional_MI2V/subject1/00012_subject1.png,,"The scene shifts slowly as the camera pans from right to left. The white toilet in the image, initially near the center-left, gradually moves to the far left, becoming the primary focus by the end."
00013,IntelligentVBench/images/Compositional_MI2V/subject1/00013_subject1.png,,"A person holds a red air pump and steadily inflates the orange basketball-shaped object in the image. With each pump, the orange basketball-shaped object gradually swells, becoming progressively rounder until it resembles a full-sized basketball."
00014,IntelligentVBench/images/Compositional_MI2V/subject1/00014_subject1.png,,"A person's hand holds the white stylus in the image and moves it across the tablet surface. The tip of the white stylus glides over a digital drawing of sliced fruit, adding details by coloring within the center of one slice."
00015,IntelligentVBench/images/Compositional_MI2V/subject1/00015_subject1.png,,"The cow in the image, grazing with its head down, suddenly raises and slightly turns its head toward the viewer while continuing to eat, then holds this posture. The black bull remains motionless."
00016,IntelligentVBench/images/Compositional_MI2V/subject1/00016_subject1.png,,"The woman in the image sits in a car, initially gazing forward while holding her hand up to shield her eye. She gradually lowers her gaze and slowly tilts her head back, eventually resting it on her raised left forearm."
00017,IntelligentVBench/images/Compositional_MI2V/subject1/00017_subject1.png,,"The girl in the image, initially bent over with a pained expression, closes her eyes tightly then opens them wide and parts her lips as if shouting in distress. All other women stand motionless, observing her."
00018,IntelligentVBench/images/Compositional_MI2V/subject1/00018_subject1.png,,"A person's hands hold the wooden honey dipper in the image over a glass bowl. The right hand pulls the wooden honey dipper up through the liquid honey, creating a thin, viscous stream that drips down."
00019,IntelligentVBench/images/Compositional_MI2V/subject1/00019_subject1.png,,"The woman in the image, singing with a wide smile, dances energetically, briefly bows her head before lifting it, raises her right hand with a black wristband to gesture toward herself, and her dark hair bobs with her movements."
00020,IntelligentVBench/images/Compositional_MI2V/subject1/00020_subject1.png,,"The man in the image holds a rolled-up yoga mat with one hand and talks to the woman beside him. The woman stands motionless, facing away from the camera while holding another yoga mat."
00021,IntelligentVBench/images/Compositional_MI2V/subject1/00021_subject1.png,,"A hand holds the folding knife in the image and rotates it around its axis, showing both the handle and the blade."
00022,IntelligentVBench/images/Compositional_MI2V/subject1/00022_subject1.png,,"The camera slowly pulls away from the glazed pastry in the image, making it gradually smaller as more of the surrounding yellow plate becomes visible."
00023,IntelligentVBench/images/Compositional_MI2V/subject1/00023_subject1.png,,The hands in the image initially work on an old electronic device using a small tool held by the right hand.
00024,IntelligentVBench/images/Compositional_MI2V/subject1/00024_subject1.png,,"The woman in the image, begins running in place, rhythmically swinging her arms and hopping between several colored hula hoops laid out before her."
00025,IntelligentVBench/images/Compositional_MI2V/subject1/00025_subject1.png,,"The man in the image's expression shifts from a gentle smile to surprise as he reaches across the sink. He selects a small bottle by its red cap, examining it with concern. He squeezes a white substance from the bottle onto his finger, brings it to his lips to taste, and his face contorts in disgust, causing him to squint his eyes shut."
00026,IntelligentVBench/images/Compositional_MI2V/subject1/00026_subject1.png,,"The child in the image initially stands inside a playhouse, then crouches until only his head and hat are visible beneath the counter. After briefly disappearing, he emerges from deeper within the playhouse, holding two small toys—a green one and a yellow one—before lowering them slightly."
00027,IntelligentVBench/images/Compositional_MI2V/subject1/00027_subject1.png,,"The man in the image runs across a grassy field, his face showing excitement before slowing to a stop and kneeling. He then moves forward onto his knees, raises both arms high in a victorious gesture, clenches his fists, and shouts with joy."
00028,IntelligentVBench/images/Compositional_MI2V/subject1/00028_subject1.png,,"The girl in the image sits at an electronic keyboard, fingers moving across the keys as she plays."
00029,IntelligentVBench/images/Compositional_MI2V/subject1/00029_subject1.png,,"The woman in the image sits in a vehicle, talking to the camera."
00030,IntelligentVBench/images/Compositional_MI2V/subject1/00030_subject1.png,,The man in the image holds the handlebars of an orange bicycle.
