index,first_frame,last_frame,prompt
00001,IntelligentVBench/images/Interpolative_DI2V/00001_first.png,IntelligentVBench/images/Interpolative_DI2V/00001_last.png,"Girl gestures, then crosses arms; boy listens, horse stands still."
00002,IntelligentVBench/images/Interpolative_DI2V/00002_first.png,IntelligentVBench/images/Interpolative_DI2V/00002_last.png,Eagle glides left to right against dawn/dusk sky with soft clouds.
00003,IntelligentVBench/images/Interpolative_DI2V/00003_first.png,IntelligentVBench/images/Interpolative_DI2V/00003_last.png,Camera tilts up to reveal giant anime girl's surprised face.
00004,IntelligentVBench/images/Interpolative_DI2V/00004_first.png,IntelligentVBench/images/Interpolative_DI2V/00004_last.png,"Man turns head toward camera, smiling subtly with mouth slightly open."
00005,IntelligentVBench/images/Interpolative_DI2V/00005_first.png,IntelligentVBench/images/Interpolative_DI2V/00005_last.png,"Child runs down hallway, turns left, and enters another room."
00006,IntelligentVBench/images/Interpolative_DI2V/00006_first.png,IntelligentVBench/images/Interpolative_DI2V/00006_last.png,"Scissors cut into red circles on paper, partially slicing them out."
00007,IntelligentVBench/images/Interpolative_DI2V/00007_first.png,IntelligentVBench/images/Interpolative_DI2V/00007_last.png,"Women shift from leaning to alertly looking upward, expressions of shock intensifying."
00008,IntelligentVBench/images/Interpolative_DI2V/00008_first.png,IntelligentVBench/images/Interpolative_DI2V/00008_last.png,Woman opens eyes and smiles while riding in car at night.
00009,IntelligentVBench/images/Interpolative_DI2V/00009_first.png,IntelligentVBench/images/Interpolative_DI2V/00009_last.png,"Players sprint joyfully toward camera, celebrating in unison on field."
00010,IntelligentVBench/images/Interpolative_DI2V/00010_first.png,IntelligentVBench/images/Interpolative_DI2V/00010_last.png,"Students maintain focus, one subtly shifts gaze downward to notebook."
00011,IntelligentVBench/images/Interpolative_DI2V/00011_first.png,IntelligentVBench/images/Interpolative_DI2V/00011_last.png,Woman's expression shifts from calm to concerned during intense conversation.
00012,IntelligentVBench/images/Interpolative_DI2V/00012_first.png,IntelligentVBench/images/Interpolative_DI2V/00012_last.png,"She looks down, then up with surprise and a slight smile."
00013,IntelligentVBench/images/Interpolative_DI2V/00013_first.png,IntelligentVBench/images/Interpolative_DI2V/00013_last.png,"Boy rolls over, sits up, and gestures excitedly while speaking."
00014,IntelligentVBench/images/Interpolative_DI2V/00014_first.png,IntelligentVBench/images/Interpolative_DI2V/00014_last.png,Boy walks toward red toy car as person passes by in background.
00015,IntelligentVBench/images/Interpolative_DI2V/00015_first.png,IntelligentVBench/images/Interpolative_DI2V/00015_last.png,"Man on motorcycle approaches camera steadily on sunny, curving rural road."
00016,IntelligentVBench/images/Interpolative_DI2V/00016_first.png,IntelligentVBench/images/Interpolative_DI2V/00016_last.png,"Woman covers face, then both hands, as man watches silently."
00017,IntelligentVBench/images/Interpolative_DI2V/00017_first.png,IntelligentVBench/images/Interpolative_DI2V/00017_last.png,Red car drives with characters; trailer with more characters appears behind.
00018,IntelligentVBench/images/Interpolative_DI2V/00018_first.png,IntelligentVBench/images/Interpolative_DI2V/00018_last.png,Camera pans from intense woman to man listening seriously.
00019,IntelligentVBench/images/Interpolative_DI2V/00019_first.png,IntelligentVBench/images/Interpolative_DI2V/00019_last.png,"Cap falls slowly, landing near formal shoes and heels on polished floor."
00020,IntelligentVBench/images/Interpolative_DI2V/00020_first.png,IntelligentVBench/images/Interpolative_DI2V/00020_last.png,Camera tilts up as man looks upward thoughtfully while speaking or singing.
00021,IntelligentVBench/images/Interpolative_DI2V/00021_first.png,IntelligentVBench/images/Interpolative_DI2V/00021_last.png,Man draws horizontal lines on whiteboard while facing it.
00022,IntelligentVBench/images/Interpolative_DI2V/00022_first.png,IntelligentVBench/images/Interpolative_DI2V/00022_last.png,Child inflates basketballs with red pump on carpet near couch.
00023,IntelligentVBench/images/Interpolative_DI2V/00023_first.png,IntelligentVBench/images/Interpolative_DI2V/00023_last.png,Blood splashes onto the shocked officer's uniform from above.
00024,IntelligentVBench/images/Interpolative_DI2V/00024_first.png,IntelligentVBench/images/Interpolative_DI2V/00024_last.png,Man's smile fades to surprise as he looks up attentively.
00025,IntelligentVBench/images/Interpolative_DI2V/00025_first.png,IntelligentVBench/images/Interpolative_DI2V/00025_last.png,"Dog shifts gaze, lifts paw, then settles back down in sunny garden."
00026,IntelligentVBench/images/Interpolative_DI2V/00026_first.png,IntelligentVBench/images/Interpolative_DI2V/00026_last.png,"Stork turns head up, revealing full bill and eye against blurred background."
00027,IntelligentVBench/images/Interpolative_DI2V/00027_first.png,IntelligentVBench/images/Interpolative_DI2V/00027_last.png,Blonde hero grins as foes raise hands in surrender amidst floating bubbles.
00028,IntelligentVBench/images/Interpolative_DI2V/00028_first.png,IntelligentVBench/images/Interpolative_DI2V/00028_last.png,"Hands cut mushrooms, then lift and inspect them before returning some to log."
