index,ref_image_path,prompt
00001,IntelligentVBench/images/Implicit_I2V/00001.png,The blonde woman is defending herself against an attacker in a tense confrontation.
00002,IntelligentVBench/images/Implicit_I2V/00002.png,"The girls are celebrating the end of schoo, expressing freedom."
00003,IntelligentVBench/images/Implicit_I2V/00003.png,The video captures the dynamic social behavior and breeding activities of Adélie penguins in their natural Antarctic habitat
00004,IntelligentVBench/images/Implicit_I2V/00004.png,"The characters are joining a mass migration or gathering, prompting the camera to pull back and reveal the scale of the event."
00005,IntelligentVBench/images/Implicit_I2V/00005.png,A woman is urgently briefing the SWAT team on critical information displayed on the officer's smartphone.
00006,IntelligentVBench/images/Implicit_I2V/00006.png,"A girl is playfully using the toy to surprise and tease a boy outside the car, leading to his exaggerated reaction."
00007,IntelligentVBench/images/Implicit_I2V/00007.png,"The Hulk is venting his rage by destroying objects in the city, demonstrating his immense strength and anger."
00008,IntelligentVBench/images/Implicit_I2V/00008.png,The older woman is forcing the boy to eat the cake as a form of punishment or control
00009,IntelligentVBench/images/Implicit_I2V/00009.png,The crowd is celebrating the arrival of a revered leader or hero
00010,IntelligentVBench/images/Implicit_I2V/00010.png,"The man is strolling through a bustling market, observing the lively atmosphere and interactions among the townsfolk."
00011,IntelligentVBench/images/Implicit_I2V/00011.png,"The soldiers are retreating under enemy fire, trying to escape the ambush."
00012,IntelligentVBench/images/Implicit_I2V/00012.png,The coach is training with a boxer.
00013,IntelligentVBench/images/Implicit_I2V/00013.png,"The team is celebrating a successful play or victory, fostering camaraderie and joy among teammates."
00014,IntelligentVBench/images/Implicit_I2V/00014.png,The characters are performing a choreographed dance routine to celebrate or entertain.
00015,IntelligentVBench/images/Implicit_I2V/00015.png,The players are performing a coordinated warm-up drill to enhance agility and team cohesion before practice or a game.
00016,IntelligentVBench/images/Implicit_I2V/00016.png,"The purple-haired character is startled awake by something the blue-haired character said or did, causing a sudden reaction of surprise or alarm."
00017,IntelligentVBench/images/Implicit_I2V/00017.png,The woman uses the fire extinguisher to defend herself in a chaotic stairwell confrontation.
00018,IntelligentVBench/images/Implicit_I2V/00018.png,The runner is joyfully reuniting with a loved one after a long separation
00019,IntelligentVBench/images/Implicit_I2V/00019.png,The woman is being captured and restrained by a hostile group
00020,IntelligentVBench/images/Implicit_I2V/00020.png,The basketball player is executing a deceptive maneuver to outwit an opponent.
00021,IntelligentVBench/images/Implicit_I2V/00021.png,"She is warming up before a workout, to prepare her upper body for physical activity."
00022,IntelligentVBench/images/Implicit_I2V/00022.png,"The man is encouraging the woman as she learns to ride, celebrating her small victory."
00023,IntelligentVBench/images/Implicit_I2V/00023.png,"The woman is playfully testing the acoustics of the horn device while the man reacts with amusement, suggesting a lighthearted experiment or demonstration."
00024,IntelligentVBench/images/Implicit_I2V/00024.png,"The group is filming a lighthearted, possibly comedic scene where the dancer's exaggerated movements lead to a playful fall."
00025,IntelligentVBench/images/Implicit_I2V/00025.png,"The team is competing in a rowing race, directed by the young man at the bow."
00026,IntelligentVBench/images/Implicit_I2V/00026.png,The medical team is urgently transporting a patient to the emergency room for immediate medical attention.
00027,IntelligentVBench/images/Implicit_I2V/00027.png,She entered the store to shop for groceries
00028,IntelligentVBench/images/Implicit_I2V/00028.png,"The players are warming up before a training session, to prepare physically while maintaining team cohesion."
00029,IntelligentVBench/images/Implicit_I2V/00029.png,"The four men are defending themselves against an ambush by an opposing group wielding sticks, escalating into a violent confrontation."
00030,IntelligentVBench/images/Implicit_I2V/00030.png,"The man is fleeing from an angry mob that is attempting to grab him, prompting him to defend himself as he runs."
00031,IntelligentVBench/images/Implicit_I2V/00031.png,"The scene depicts a surreal, dreamlike sequence where SpongeBob's multiple selves converge into one"
00032,IntelligentVBench/images/Implicit_I2V/00032.png,The woman is defending herself against the man's aggressive assault and gaining the upper hand in the confrontation.
00033,IntelligentVBench/images/Implicit_I2V/00033.png,The soldier is urgently trying to save his injured comrade amidst the chaos of battle
00034,IntelligentVBench/images/Implicit_I2V/00034.png,The man received startling news on his phone that he urgently needs to share with the woman.
00035,IntelligentVBench/images/Implicit_I2V/00035.png,"The armed men initiated a sudden attack or raid, causing chaos"
00036,IntelligentVBench/images/Implicit_I2V/00036.png,The person is defending himself against aggressive supernatural creatures in a desperate survival scenario.
00037,IntelligentVBench/images/Implicit_I2V/00037.png,The woman is protecting the girl from falling debris in a collapsing environment
00038,IntelligentVBench/images/Implicit_I2V/00038.png,"The athlete is sprinting with maximum effort in a relay race, to secure a competitive advantage for his team."
00039,IntelligentVBench/images/Implicit_I2V/00039.png,The woman is reacting to an unexpected magical attack
00040,IntelligentVBench/images/Implicit_I2V/00040.png,The man walked down the stairs and watched the crowd gathered in the lobby
00041,IntelligentVBench/images/Implicit_I2V/00041.png,The couple is celebrating their love by sharing a romantic moment in a scenic outdoor setting.
00042,IntelligentVBench/images/Implicit_I2V/00042.png,"The man is attempting to restrain or control the woman, who is resisting his actions, leading to a physical struggle."
00043,IntelligentVBench/images/Implicit_I2V/00043.png,The boxers are competing fiercely to win the match
00044,IntelligentVBench/images/Implicit_I2V/00044.png,"The group is engaged in a synchronized activity, possibly a team-building exercise or rehearsal."
00045,IntelligentVBench/images/Implicit_I2V/00045.png,The skier aimed to perform an aerial trick off the jump to showcase skill and control
00046,IntelligentVBench/images/Implicit_I2V/00046.png,The women are playfully engaging in a spontaneous game of chase
00047,IntelligentVBench/images/Implicit_I2V/00047.png,The older man is teaching the younger man a dance routine.
00048,IntelligentVBench/images/Implicit_I2V/00048.png,The man encountered an acquaintance who is off-camera while passing through the neighborhood.
00049,IntelligentVBench/images/Implicit_I2V/00049.png,"The video captures a student protest, with participants expressing solidarity and activism."
00050,IntelligentVBench/images/Implicit_I2V/00050.png,"Spider-Man is navigating the cityscape to reach a destination, utilizing his agility and web-swinging abilities."
00051,IntelligentVBench/images/Implicit_I2V/00051.png,The officer is attempting to control a panicked crowd during an emergency evacuation
00052,IntelligentVBench/images/Implicit_I2V/00052.png,"A cat is desperately trying to catch the mouse while navigating through traffic, leading to comedic physical distortions as it gets squeezed between vehicles."
00053,IntelligentVBench/images/Implicit_I2V/00053.png,The characters are performing a coordinated aerial display before heading on a mission.
00054,IntelligentVBench/images/Implicit_I2V/00054.png,The camera is moving forward to explore the desert landscape and highlight the natural rock formations.
00055,IntelligentVBench/images/Implicit_I2V/00055.png,The cheerleaders are practicing a high-energy routine to perfect their synchronization and athleticism for a performance or competition.
00056,IntelligentVBench/images/Implicit_I2V/00056.png,"The video captures a competitive race, emphasizing teamwork and synchronization"
00057,IntelligentVBench/images/Implicit_I2V/00057.png,"The player is demonstrating ball control skills during a training session, aiming to improve coordination and passing accuracy."
00058,IntelligentVBench/images/Implicit_I2V/00058.png,The man is fighting to escape or defend himself against the soldiers who are attempting to subdue him.
00059,IntelligentVBench/images/Implicit_I2V/00059.png,"A couple is enjoying a spontaneous and joyful moment together, using the pillow fight as a playful way to bond and express affection."
00060,IntelligentVBench/images/Implicit_I2V/00060.png,"Garfield, driven by insatiable hunger, hijacks a drone-delivered tray of meatballs mid-air to satisfy his appetite."
